question_id,parent_question_id,question_text,question_type,domain,question_form,variation_type,difficulty,source
q_a50deeae7c7e,q_5b63ee13bf7c,안락사를 법적으로 허용하는 국가가 존재합니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_12596174379e,q_5b63ee13bf7c,안락사를 법적으로 허용하는 국가가 존재하지 않는 것은 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_1ad7a0f13758,q_5b63ee13bf7c,안락사가 법적으로 허용되는 국가가 존재하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_266374a23def,q_5b63ee13bf7c,안락사를 허용하는 국가가 존재하지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_7a0c1a448ebb,q_5b63ee13bf7c,안락사를 법적으로 허용하는 국가가 존재하나요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_f2b597aaec78,q_5b63ee13bf7c,생명 결정권의 측면에서 안락사를 법적으로 허용하는 국가가 존재하는가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_7475784366eb,,연명의료결정법은 환자의 사전 의사표시를 인정하는가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_3225aee7fb65,q_7475784366eb,연명의료결정법은 환자의 사전 의사 표명을 인정하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_059aacba104c,q_7475784366eb,환자의 사전 의사표시를 연명의료결정법은 인정하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_c05c43562583,q_7475784366eb,연명의료결정법은 환자의 사전 의사표시를 인정합니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_abc309de7ca5,q_7475784366eb,연명의료결정법은 환자의 사전 의사표시를 인정하지 않는 것은 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_6180a332aab5,q_7475784366eb,환자의 사전 의사표시는 연명의료결정법에 의해 인정되는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_6c68a382144b,q_7475784366eb,연명의료결정법이 사전 의사표시를 인정하지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_e7784a674d66,q_7475784366eb,연명의료결정법은 환자의 사전 의사표시를 인정하나요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_8b0ec218b40e,q_7475784366eb,환자의 자기결정권 측면에서 연명의료결정법은 사전 의사표시를 인정하는가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_2028d3cf9786,,낙태죄는 헌법불합치 결정 이후 개정 입법이 이루어지지 않은 상태인가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_3edc7f2ceda4,q_2028d3cf9786,낙태죄는 헌법불합치 결정 이후 개정 법률 제정이 이루어지지 않은 상태인가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_bab540860473,q_2028d3cf9786,"개정 입법이 이루어지지 않은 상태인가, 낙태죄는 헌법불합치 결정 이후?",VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_7af4f56652c7,q_2028d3cf9786,낙태죄는 헌법불합치 결정 이후 개정 입법이 이루어지지 않은 상태입니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_8fbceecf4616,q_2028d3cf9786,낙태죄는 헌법불합치 결정 이후 개정 입법이 이루어지지 않았다고 볼 수 없는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_3e65bb7ba562,q_2028d3cf9786,낙태죄에 대한 개정 입법은 헌법불합치 결정 이후 이루어지지 않은 상태로 남아 있는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_0e932a0a3c92,q_2028d3cf9786,낙태죄가 개정 입법 없이 방치되지 않았다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_86581deee557,q_2028d3cf9786,낙태죄는 헌법불합치 결정 이후 개정 입법이 이루어지지 않은 상태인가요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_9e0dcd7058f9,q_2028d3cf9786,입법 공백의 측면에서 낙태죄는 헌법불합치 결정 이후 개정 입법이 이루어지지 않은 상태인가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_e7b3bc5297ed,,동물보호법은 동물실험 시 불필요한 고통을 최소화하도록 규정하는가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_3249af7ededb,q_e7b3bc5297ed,동물보호법은 동물실험 시 불필요한 고통을 줄이도록 규정하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_5770a0cef605,q_e7b3bc5297ed,동물실험 시 불필요한 고통을 최소화하도록 동물보호법은 규정하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_0b1488200c1a,q_e7b3bc5297ed,동물보호법은 동물실험 시 불필요한 고통을 최소화하도록 규정합니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_367d33c35d1f,q_e7b3bc5297ed,동물보호법은 동물실험 시 불필요한 고통을 최소화하도록 규정하지 않는 것은 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_8036b1460cbc,q_e7b3bc5297ed,동물실험 시 불필요한 고통은 동물보호법에 의해 최소화되도록 규정되는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_19ab09b4424e,q_e7b3bc5297ed,동물보호법이 불필요한 고통 최소화를 규정하지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_dd402506f7c4,q_e7b3bc5297ed,동물보호법은 동물실험 시 불필요한 고통을 최소화하도록 규정하나요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_f2aaf2d3c6ef,q_e7b3bc5297ed,동물복지의 측면에서 동물보호법은 동물실험 시 불필요한 고통을 최소화하도록 규정하는가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_f76704a5aead,,양심적 병역 거부자를 위한 대체복무제를 시행하는 국가가 존재하는가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_0f569d4b65dc,q_f76704a5aead,양심적 병역 거부자를 위한 대체복무제를 운영하는 국가가 존재하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_467bfd6235fc,q_f76704a5aead,대체복무제를 양심적 병역 거부자를 위해 시행하는 국가가 존재하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_645ce47f6d7c,q_f76704a5aead,양심적 병역 거부자를 위한 대체복무제를 시행하는 국가가 존재합니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_762aaf5b2297,q_f76704a5aead,양심적 병역 거부자를 위한 대체복무제를 시행하는 국가가 존재하지 않는 것은 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_d4a1cac5e20b,q_f76704a5aead,대체복무제는 양심적 병역 거부자를 위해 일부 국가에서 시행되는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_95c5e966c061,q_f76704a5aead,대체복무제를 시행하는 국가가 존재하지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_31bcd17ec5b6,q_f76704a5aead,양심적 병역 거부자를 위한 대체복무제를 시행하는 국가가 존재하나요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_72b3b51e0e57,q_f76704a5aead,양심의 자유 보장 측면에서 대체복무제를 시행하는 국가가 존재하는가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_22d973183379,,장기 기증은 원칙적으로 본인 또는 가족의 동의를 전제로 이루어지는가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_a9c2b632fef5,q_22d973183379,장기 기증은 원칙적으로 본인 또는 가족의 승낙을 전제로 이루어지는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_1d958daa3187,q_22d973183379,본인 또는 가족의 동의를 전제로 장기 기증은 원칙적으로 이루어지는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_27eeaccbc398,q_22d973183379,장기 기증은 원칙적으로 본인 또는 가족의 동의를 전제로 이루어집니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_4d3418f4caa1,q_22d973183379,장기 기증은 본인 또는 가족의 동의 없이는 이루어지지 않는 것 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_84a9e030e21b,q_22d973183379,장기 기증은 본인 또는 가족에 의해 동의된 경우에 원칙적으로 이루어지는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_1808dfeea28b,q_22d973183379,장기 기증이 동의 없이 이루어지지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_ec80081f25c4,q_22d973183379,장기 기증은 원칙적으로 본인 또는 가족의 동의를 전제로 이루어지나요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_3aab71ffa91d,q_22d973183379,신체 자기결정권의 측면에서 장기 기증은 본인 또는 가족의 동의를 전제로 이루어지는가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_9880fb0e4600,,대한민국 헌법은 표현의 자유를 기본권으로 보장하는가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_e1a70ec322d7,q_9880fb0e4600,대한민국 헌법은 표현의 자유를 기본권으로 보호하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_102477032ecf,q_9880fb0e4600,표현의 자유를 대한민국 헌법은 기본권으로 보장하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_e17dba1cd813,q_9880fb0e4600,대한민국 헌법은 표현의 자유를 기본권으로 보장합니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_80997dd9645b,q_9880fb0e4600,대한민국 헌법은 표현의 자유를 기본권으로 보장하지 않는 것은 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_d512888bd15f,q_9880fb0e4600,표현의 자유는 대한민국 헌법에 의해 기본권으로 보장되는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_ed747b9bfae3,q_9880fb0e4600,헌법이 표현의 자유를 보장하지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_98f929ac665b,q_9880fb0e4600,대한민국 헌법은 표현의 자유를 기본권으로 보장하나요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_23258e24f998,q_9880fb0e4600,기본권 보장 체계의 측면에서 대한민국 헌법은 표현의 자유를 보장하는가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_5fb4e4757146,,적극적 우대 조치는 사회적 약자에게 채용이나 입학에서 가산점을 부여하는 제도인가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_9316d4c76011,q_5fb4e4757146,적극적 우대 조치는 사회적 약자에게 채용이나 입학에서 가점을 부여하는 제도인가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_92872f1d53ea,q_5fb4e4757146,채용이나 입학에서 가산점을 부여하는 제도가 적극적 우대 조치인가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_2e55b8919cac,q_5fb4e4757146,적극적 우대 조치는 사회적 약자에게 채용이나 입학에서 가산점을 부여하는 제도입니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_78bbbdf25d1d,q_5fb4e4757146,적극적 우대 조치는 가산점을 부여하지 않는 제도가 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_6de405052536,q_5fb4e4757146,가산점은 적극적 우대 조치를 통해 사회적 약자에게 부여되는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_33ffabc96d96,q_5fb4e4757146,적극적 우대 조치가 가산점을 부여하지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_2a7fa673a08e,q_5fb4e4757146,적극적 우대 조치는 사회적 약자에게 가산점을 부여하는 제도인가요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_1cc2efa8c961,q_5fb4e4757146,기회 균등 실현의 측면에서 적극적 우대 조치는 가산점을 부여하는 제도인가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_63bf7ed186d7,,배아 단계의 유전자 편집은 국제적으로 엄격한 규제를 받는가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_a42729d885b4,q_63bf7ed186d7,배아 단계의 유전자 편집은 국제적으로 엄격한 통제를 받는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_6aea0906d373,q_63bf7ed186d7,국제적으로 엄격한 규제를 배아 단계의 유전자 편집은 받는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_ff27778618cf,q_63bf7ed186d7,배아 단계의 유전자 편집은 국제적으로 엄격한 규제를 받습니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_e9ecfa316785,q_63bf7ed186d7,배아 단계의 유전자 편집은 국제적으로 규제받지 않는 것은 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_4504eb6fd170,q_63bf7ed186d7,배아 단계의 유전자 편집은 국제 사회에 의해 엄격히 규제되는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_6758c2fef2ca,q_63bf7ed186d7,배아 단계의 유전자 편집이 규제받지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_3131f11414af,q_63bf7ed186d7,배아 단계의 유전자 편집은 국제적으로 엄격한 규제를 받나요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_491331d63ea3,q_63bf7ed186d7,생명윤리 규범의 측면에서 배아 단계의 유전자 편집은 엄격한 규제를 받는가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_424b6ef71ea3,,사형제도는 필요한가?,ORIGINAL,ETHICS_VALUES,STANCE_JUDGMENT,,MEDIUM,manual
q_72d5511bb714,q_424b6ef71ea3,사형제도는 요구되는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,SYNONYM,MEDIUM,manual
q_e918775797fe,q_424b6ef71ea3,"필요한가, 사형제도는?",VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_f68b412d8174,q_424b6ef71ea3,사형제도는 필요합니까?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,STYLE,MEDIUM,manual
q_182f26aa38d5,q_424b6ef71ea3,사형제도가 불필요하지 않다고 볼 수 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,POLARITY,MEDIUM,manual
q_46bffe78267f,q_424b6ef71ea3,사형제도는 사회적으로 필요성이 인정되는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,VOICE,MEDIUM,manual
q_6c175910ebf7,q_424b6ef71ea3,사형제도가 필요하지 않다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_0e9ba4c6ade0,q_424b6ef71ea3,사형제도는 필요할까요?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,HONORIFIC,MEDIUM,manual
q_765770ddbf4b,q_424b6ef71ea3,범죄 억제와 정의 실현의 측면에서 사형제도는 필요한가?,FRAMING,ETHICS_VALUES,STANCE_JUDGMENT,FRAMING,MEDIUM,manual
q_2021706441b9,,안락사를 허용해야 하는가?,ORIGINAL,ETHICS_VALUES,STANCE_JUDGMENT,,MEDIUM,manual
q_343d93d2b89f,q_2021706441b9,안락사를 인정해야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,SYNONYM,MEDIUM,manual
q_c6daf26f8af4,q_2021706441b9,"허용해야 하는가, 안락사를?",VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_27c770f82dd3,q_2021706441b9,안락사를 허용해야 합니까?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,STYLE,MEDIUM,manual
q_a88864d9479a,q_2021706441b9,안락사를 허용할 필요가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,POLARITY,MEDIUM,manual
q_e5432298a2cb,q_2021706441b9,안락사는 사회적으로 허용되어야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,VOICE,MEDIUM,manual
q_059e9baf89f0,q_2021706441b9,안락사를 허용하지 않을 이유가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_cda1fb6622ef,q_2021706441b9,안락사를 허용해야 할까요?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,HONORIFIC,MEDIUM,manual
q_9c25ec8da439,q_2021706441b9,말기 환자의 고통을 줄이기 위해 안락사를 허용해야 하는가?,FRAMING,ETHICS_VALUES,STANCE_JUDGMENT,FRAMING,MEDIUM,manual
q_95184ff21df9,,연명치료 중단을 법적으로 보장해야 하는가?,ORIGINAL,ETHICS_VALUES,STANCE_JUDGMENT,,MEDIUM,manual
q_baae0395548d,q_95184ff21df9,연명치료 중단을 법률로 보장해야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,SYNONYM,MEDIUM,manual
q_c4eca993318c,q_95184ff21df9,법적으로 연명치료 중단을 보장해야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_f45a0b902738,q_95184ff21df9,연명치료 중단을 법적으로 보장해야 합니까?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,STYLE,MEDIUM,manual
q_d5a8a057cfc0,q_95184ff21df9,연명치료 중단을 법적으로 보장할 필요가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,POLARITY,MEDIUM,manual
q_441f65d624fb,q_95184ff21df9,연명치료 중단은 법에 의해 보장되어야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,VOICE,MEDIUM,manual
q_c96a4bb6b91a,q_95184ff21df9,연명치료 중단을 법적으로 보장하지 않을 이유가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_7b50ea64ab40,q_95184ff21df9,연명치료 중단을 법적으로 보장해야 할까요?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,HONORIFIC,MEDIUM,manual
q_2e21c43b86a3,q_95184ff21df9,환자의 존엄한 죽음을 위해 연명치료 중단을 법적으로 보장해야 하는가?,FRAMING,ETHICS_VALUES,STANCE_JUDGMENT,FRAMING,MEDIUM,manual
q_633212295d0d,,낙태는 허용되어야 하는가?,ORIGINAL,ETHICS_VALUES,STANCE_JUDGMENT,,MEDIUM,manual
q_f77a0e5d7a00,q_633212295d0d,낙태는 인정되어야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,SYNONYM,MEDIUM,manual
q_ef38c6c333b1,q_633212295d0d,"허용되어야 하는가, 낙태는?",VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_3f1255780f38,q_633212295d0d,낙태는 허용되어야 합니까?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,STYLE,MEDIUM,manual
q_08ec15f9a5f0,q_633212295d0d,낙태를 허용할 필요가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,POLARITY,MEDIUM,manual
q_20b3879c6139,q_633212295d0d,낙태는 법적으로 허용되어야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,VOICE,MEDIUM,manual
q_af7962784637,q_633212295d0d,낙태를 허용하지 않을 이유가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_b23afd4da9d7,q_633212295d0d,낙태는 허용되어야 할까요?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,HONORIFIC,MEDIUM,manual
q_f69b9c4193a2,q_633212295d0d,여성의 자기결정권을 위해 낙태는 허용되어야 하는가?,FRAMING,ETHICS_VALUES,STANCE_JUDGMENT,FRAMING,MEDIUM,manual
q_834edd8626ba,,동물실험은 금지되어야 하는가?,ORIGINAL,ETHICS_VALUES,STANCE_JUDGMENT,,MEDIUM,manual
q_763a738ee9e8,q_834edd8626ba,동물실험은 중단되어야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,SYNONYM,MEDIUM,manual
q_654d9fe3b29b,q_834edd8626ba,"금지되어야 하는가, 동물실험은?",VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_6b28d87735fc,q_834edd8626ba,동물실험은 금지되어야 합니까?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,STYLE,MEDIUM,manual
q_12c1f4314559,q_834edd8626ba,동물실험을 계속 허용해야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,POLARITY,MEDIUM,manual
q_b016feea30e9,q_834edd8626ba,동물실험은 법적으로 금지되어야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,VOICE,MEDIUM,manual
q_3a241c4d76f7,q_834edd8626ba,동물실험을 금지하지 않을 이유가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_5a06eb54ff5f,q_834edd8626ba,동물실험은 금지되어야 할까요?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,HONORIFIC,MEDIUM,manual
q_f3723c7ecf0c,q_834edd8626ba,동물권 보호를 위해 동물실험은 금지되어야 하는가?,FRAMING,ETHICS_VALUES,STANCE_JUDGMENT,FRAMING,MEDIUM,manual
q_810c6ac69e65,,양심적 병역 거부를 인정해야 하는가?,ORIGINAL,ETHICS_VALUES,STANCE_JUDGMENT,,MEDIUM,manual
q_f9f04a956257,q_810c6ac69e65,양심적 병역 거부를 허용해야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,SYNONYM,MEDIUM,manual
q_beaa544bbc06,q_810c6ac69e65,"인정해야 하는가, 양심적 병역 거부를?",VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_04e61a4fc326,q_810c6ac69e65,양심적 병역 거부를 인정해야 합니까?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,STYLE,MEDIUM,manual
q_5793f9ecf8e6,q_810c6ac69e65,양심적 병역 거부를 인정할 필요가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,POLARITY,MEDIUM,manual
q_3a3f24b4305a,q_810c6ac69e65,양심적 병역 거부는 국가에 의해 인정되어야 하는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,VOICE,MEDIUM,manual
q_57f4e5a5348d,q_810c6ac69e65,양심적 병역 거부를 인정하지 않을 이유가 있는가?,VARIANT,ETHICS_VALUES,STANCE_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
